node_id,x,y,unique_agency_id,route_type,stop_id,stop_name,parent_station,stop_code,wheelchair_boarding,zone_id,location_type,net_type
1999234_connexxion,4.892703,52.4063,connexxion,3.0,1999234,"Amsterdam, Stenendokweg",,57114560,1.0,CXX:57114560,0,transit
2402587_connexxion,4.764794,52.347555,connexxion,3.0,2402587,"Lijnden, Melbournestraat",stoparea:122231,57230210,0.0,CXX:57230210,0,transit
2260421_connexxion,4.863173,52.311173,connexxion,3.0,2260421,"Amstelveen, Zonnestein",stoparea:357156,57242140,1.0,CXX:57242140,0,transit
2258655_connexxion,4.856494,52.305606,connexxion,3.0,2258655,"Amstelveen, Heemraadschapslaan",,57242481,1.0,CXX:57242481,0,transit
2259750_connexxion,4.844878,52.302264,connexxion,3.0,2259750,"Amstelveen, Raadhuis",stoparea:357729,57242751,1.0,CXX:57242751,0,transit
2339448_syntus_utrecht,4.96224,52.287024,syntus_utrecht,3.0,2339448,"Amsterdam, Weltevreden",stoparea:368382,57252540,0.0,,0,transit
15157_gvb,4.93019,52.348031,gvb,3.0,15157,"Amsterdam, Maxwellstraat",stoparea:2270,00041,1.0,,0,transit
15614_gvb,4.960833,52.306891,gvb,3.0,15614,"Amsterdam, Huigenbos",stoparea:2878,00170,1.0,,0,transit
15616_gvb,4.964026,52.299524,gvb,3.0,15616,"Amsterdam, Holendrechtplein",stoparea:2377,00172,1.0,,0,transit
103874_gvb,4.985075,52.311254,gvb,3.0,103874,"Amsterdam, Gaasperplas",stoparea:27867,00315,0.0,,0,transit
14595_gvb,4.978489,52.309812,gvb,3.0,14595,"Amsterdam, Leusdenhof",stoparea:2673,00305,0.0,,0,transit
14620_gvb,4.951364,52.311045,gvb,3.0,14620,"Amsterdam, Haardstee",stoparea:2542,00348,0.0,,0,transit
2260103_connexxion,4.967283,52.327236,connexxion,3.0,2260103,"Amsterdam, Eekholt",stoparea:123722,57251971,1.0,CXX:57251971,0,transit
2403069_gvb,4.977253,52.349974,gvb,3.0,2403069,"Amsterdam, Gruttoplein",stoparea:375501,00987,0.0,,0,transit
14643_gvb,4.985911,52.346974,gvb,3.0,14643,"Diemen, Diemen Noord",stoparea:2371,00970,0.0,,0,transit
408722_gvb,4.953934,52.391836,gvb,3.0,408722,"Amsterdam, Waterlandplein",stoparea:2318,01071,1.0,,0,transit
1377842_gvb,4.914133,52.396384,gvb,3.0,1377842,"Amsterdam, Sneeuwbalstraat",stoparea:2656,01158,0.0,,0,transit
14814_gvb,4.882623,52.416521,gvb,3.0,14814,"Amsterdam, Kometensingel",stoparea:2480,01210,1.0,,0,transit
14937_gvb,4.895405,52.415802,gvb,3.0,14937,"Amsterdam, Appelweg",stoparea:2594,01225,0.0,,0,transit
1377845_gvb,4.895468,52.408828,gvb,3.0,1377845,"Amsterdam, Pomonastraat",stoparea:2893,01370,1.0,,0,transit
15276_gvb,4.970761,52.383349,gvb,3.0,15276,"Amsterdam, Liergouw",stoparea:2501,01389,1.0,,0,transit
14973_gvb,4.902678,52.394514,gvb,3.0,14973,"Amsterdam, Distelweg",stoparea:2655,01403,0.0,,0,transit
14448_gvb,4.82688,52.390153,gvb,3.0,14448,"Amsterdam, Kapoeasweg",stoparea:2556,02096,0.0,,0,transit
2403066_gvb,4.847268,52.39271,gvb,3.0,2403066,"Amsterdam, Kabelweg",stoparea:2514,02257,1.0,,0,transit
15782_gvb,4.840364,52.391519,gvb,3.0,15782,"Amsterdam, La Guardiaweg",stoparea:2515,02273,0.0,,0,transit
15449_gvb,4.872588,52.374389,gvb,0.0,15449,"Amsterdam, Hugo de Grootplein",stoparea:2585,02130,1.0,,0,transit
353834_connexxion,4.7953,52.397576,connexxion,3.0,353834,"Amsterdam, Westpoortweg",stoparea:121700,57221230,1.0,CXX:57221230,0,transit
15014_gvb,4.8507,52.370122,gvb,3.0,15014,"Amsterdam, Mercatorplein",stoparea:2706,03022,0.0,,0,transit
1961658_gvb,4.849209,52.372047,gvb,3.0,1961658,"Amsterdam, Jan van Galenstraat",stoparea:341529,03028,,,0,transit
15892_gvb,4.822675,52.381208,gvb,3.0,15892,"Amsterdam, Plein '40 - '45",stoparea:2502,03130,0.0,,0,transit
2382516_gvb,4.813734,52.37641,gvb,3.0,2382516,"Amsterdam, Burg. v. Leeuwenlaan",stoparea:2704,03095,0.0,,0,transit
15794_gvb,4.813251,52.376255,gvb,3.0,15794,"Amsterdam, Burg. v. Leeuwenlaan",stoparea:2704,03096,1.0,,0,transit
96432_gvb,4.838088,52.37951,gvb,1.0,96432,"Amsterdam, Burg.de Vlugtlaan",stoparea:28369,03205,1.0,,0,transit
14796_gvb,4.795624,52.361159,gvb,3.0,14796,"Amsterdam, Reimerswaalstraat",stoparea:2470,04029,0.0,,0,transit
1999239_connexxion,4.793332,52.341581,connexxion,3.0,1999239,"Amsterdam, Langsom",stoparea:123574,57232260,1.0,CXX:57232260,0,transit
1378343_gvb,4.902345,52.367271,gvb,0.0,1378343,"Amsterdam, Waterlooplein",stoparea:30798,05052,0.0,,0,transit
15466_gvb,4.853259,52.361316,gvb,3.0,15466,"Amsterdam, Corantijnstraat",stoparea:2800,06010,0.0,,0,transit
1377854_gvb,4.879799,52.356427,gvb,0.0,1377854,"Amsterdam, Museumplein",stoparea:2545,07006,1.0,,0,transit
506845_gvb,4.88972,52.331663,gvb,3.0,506845,"Amsterdam, Amstelpark",stoparea:110902,07013,1.0,,0,transit
2066174_connexxion,4.856606,52.344102,connexxion,3.0,2066174,"Amsterdam, Olympisch Stadion",,57140460,1.0,CXX:57140460,0,transit
2316236_gvb,4.879373,52.330756,gvb,3.0,2316236,"Amsterdam, Gelderlandplein O",stoparea:364245,07300,0.0,,0,transit
15683_gvb,4.878204,52.347001,gvb,3.0,15683,"Amsterdam, Beethovenstraat",stoparea:2751,07307,0.0,,0,transit
15679_gvb,4.881874,52.348167,gvb,3.0,15679,"Amsterdam, Apollolaan",stoparea:2632,07309,0.0,,0,transit
1480225_gvb,4.874111,52.339254,gvb,1.0,1480225,"Amsterdam, Station Zuid",stoparea:285518,09585,1.0,,0,transit
2327653_gvb,4.863365,52.289872,gvb,0.0,2327653,"Amsterdam, Sportlaan",stoparea:366383,07457,,,0,transit
433778_gvb,4.96921,52.368766,gvb,0.0,433778,"Amsterdam, Bob Haarmslaan",stoparea:146270,08007,1.0,,0,transit
2397699_ebs,4.906624,52.373409,ebs,3.0,2397699,"Amsterdam, Prins Hendrikkade",stoparea:111522,57003020,0.0,,0,transit
2397698_ebs,4.909617,52.372288,ebs,3.0,2397698,"Amsterdam, IJtunnel",stoparea:380645,57003010,1.0,,0,transit
14623_gvb,4.912898,52.377236,gvb,0.0,14623,"Amsterdam, Muziekgeb. Bimhuis",stoparea:2709,08235,1.0,,0,transit
14944_gvb,4.99057,52.357695,gvb,0.0,14944,"Amsterdam, Vennepluimstraat",stoparea:2608,08247,1.0,,0,transit
1692124_gvb,4.893641,52.341916,gvb,0.0,1692124,"Amsterdam, Dintelstraat",stoparea:285515,09001,0.0,,0,transit
1692119_gvb,4.896359,52.342898,gvb,0.0,1692119,"Amsterdam, Maasstraat",stoparea:339562,09068,0.0,,0,transit
14856_gvb,4.891615,52.347264,gvb,0.0,14856,"Amsterdam, Scheldestraat",stoparea:2465,09075,1.0,,0,transit
1537010_gvb,4.890732,52.352725,gvb,0.0,1537010,"Amsterdam, De Pijp",stoparea:285517,09111,1.0,,0,transit
15341_gvb,4.901628,52.354954,gvb,3.0,15341,"Amsterdam, Van Woustraat",stoparea:2614,09096,1.0,,0,transit
96477_gvb,4.947132,52.311928,gvb,1.0,96477,"Amsterdam, Station Bijlmer ArenA",stoparea:28103,09523,1.0,,0,transit
96470_gvb,4.91757,52.346489,gvb,1.0,96470,"Amsterdam, Amstelstation",stoparea:26091,09514,1.0,,0,transit
2396900_ebs,4.905837,52.425651,ebs,3.0,2396900,"Landsmeer, Burg. Postweg",stoparea:2090,37212380,1.0,,0,transit
2340165_connexxion,4.824762,52.421609,connexxion,3.0,2340165,"Zaandam, Zaanderhorn",,37221590,0.0,CXX:37221590,0,transit
1928601_connexxion,4.894947,52.404089,connexxion,3.0,1928601,"Amsterdam, Klaprozenweg",,57113820,0.0,CXX:57113820,0,transit
2352728_connexxion,4.900799,52.379658,connexxion,3.0,2352728,"Amsterdam, Centraal Station",stoparea:121419,57005110,1.0,CXX:57005110,0,transit
648471_connexxion,4.797346,52.343192,connexxion,3.0,648471,"Amsterdam, Osdorperweg",,57232250,1.0,CXX:57232250,0,transit
521288_connexxion,4.832944,52.283424,connexxion,3.0,521288,"Amstelveen, Sacharovlaan",stoparea:120515,57240080,1.0,CXX:57240080,0,transit
511184_connexxion,4.842202,52.287368,connexxion,3.0,511184,"Amstelveen, Bovenkerkerweg",stoparea:121975,57242010,1.0,CXX:57242010,0,transit
1861687_connexxion,4.831826,52.293162,connexxion,3.0,1861687,"Amstelveen, Zwarte Pad",,57243590,0.0,CXX:57243590,0,transit
2393387_gvb,4.946913,52.30445,gvb,3.0,2393387,"Amsterdam, Karspeldreef",stoparea:380632,00495,1.0,,0,transit
2066155_connexxion,4.761288,52.308943,connexxion,3.0,2066155,"Schiphol, Airport",stoparea:226154,57330224,1.0,CXX:57330224,0,transit
548943_connexxion,4.786388,52.323373,connexxion,3.0,548943,"Schiphol, Elzenhof/P5",stoparea:151183,57330250,0.0,CXX:57330250,0,transit
2345253_connexxion,4.792766,52.322461,connexxion,3.0,2345253,"Schiphol, Knooppunt Schiphol Noord",stoparea:372829,57330023,1.0,CXX:57330023,0,transit
2348957_arriva,4.763575,52.308991,arriva,3.0,2348957,"Schiphol, Vertrekhal 1 en 2",stoparea:373548,57339070,,,0,transit
2032056_connexxion,4.750421,52.286514,connexxion,3.0,2032056,"Schiphol-ZO, Folkstoneweg",stoparea:346506,57342440,1.0,CXX:57342440,0,transit
382054_connexxion,4.759671,52.290545,connexxion,3.0,382054,"Schiphol-ZO, Oude Meerweg",,57342480,1.0,CXX:57342480,0,transit
2339488_allgo_(keolis),5.025433,52.332569,allgo_(keolis),3.0,2339488,"Muiden, Maxisweg",stoparea:368151,58200030,1.0,,0,transit
2402616_connexxion,5.064581,52.329644,connexxion,3.0,2402616,"Muiden, Centrum",stoparea:300007,58200150,1.0,CXX:58200150,0,transit
14378_gvb,4.954876,52.332898,gvb,3.0,14378,"Diemen, Tarwekamp",stoparea:2279,00252,1.0,,0,transit
14631_gvb,4.945692,52.390458,gvb,3.0,14631,"Amsterdam, Purmerplein",stoparea:2716,01059,1.0,,0,transit
15399_gvb,4.893555,52.418266,gvb,3.0,15399,"Amsterdam, Molenwijk",stoparea:2399,01377,0.0,,0,transit
2403059_gvb,4.851044,52.395109,gvb,1.0,2403059,"Amsterdam, Isolatorweg",stoparea:2460,02296,1.0,,0,transit
