BU_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,p_w_migr,p_nw_migr
BU03631800,2725,1485,0.133,0.521,0.177,0.3,530,705,,0.11,0.1,28411.0,410,197.50500000000002,1287.495,773.6850000000001,262.84499999999997,,0.25871559633027524
BU03631801,3795,2380,0.127,0.48700000000000004,0.177,0.3,945,840,37.8,0.16,0.16,24318.0,362,302.26,2077.74,1159.0600000000002,421.26,,0.22134387351778656
BU03631900,2250,1515,0.13,0.519,0.156,0.3,630,420,,0.09,0.07,30952.0,379,196.95000000000002,1318.05,786.2850000000001,236.34,,0.18666666666666668
BU03631901,2875,1765,0.192,0.644,0.08199999999999999,0.3,480,1235,24.9,0.12,0.11,25393.0,331,338.88,1426.12,1136.66,144.73,,0.4295652173913043
BU03631902,1895,1225,0.161,0.551,0.133,0.3,430,525,,0.07,0.06,29872.0,340,197.225,1027.775,674.975,162.925,,0.2770448548812665
BU03632000,2635,1565,0.067,0.409,0.263,0.4,745,300,45.7,0.11,0.1,25421.0,588,104.855,1460.145,640.0849999999999,411.595,,0.11385199240986717
BU03632001,2515,1605,0.159,0.5379999999999999,0.192,0.4,610,415,,0.17,0.16,15347.0,532,255.195,1349.805,863.4899999999999,308.16,,0.16500994035785288
BU03632002,2305,1410,0.102,0.423,0.233,0.3,635,310,,0.07,0.07,34263.0,444,143.82,1266.18,596.43,328.53000000000003,,0.13449023861171366
BU03632100,5710,3555,0.102,0.442,0.22899999999999998,0.3,1605,835,41.4,0.21,0.2,29019.0,415,362.60999999999996,3192.39,1571.31,814.0949999999999,,0.14623467600700527
BU03632101,2205,1270,0.07400000000000001,0.446,0.268,0.4,555,280,,0.1,0.1,21786.0,533,93.98000000000002,1176.02,566.42,340.36,,0.12698412698412698
BU03632200,935,545,0.087,0.39799999999999996,0.325,0.5,315,135,,0.13,0.13,7444.0,1006,47.415,497.585,216.90999999999997,177.125,,0.1443850267379679
BU03632201,900,475,0.107,0.47600000000000003,0.272,0.5,220,150,,0.09,0.09,9913.0,831,50.824999999999996,424.175,226.10000000000002,129.20000000000002,,0.16666666666666666
BU03632300,480,305,0.004,0.271,0.368,1.0,125,170,,0.83,0.8,602.0,558,1.22,303.78,82.655,112.24,,0.3541666666666667
BU03632301,0,0,,,,,0,0,,0.37,0.36,,,,,,,,
BU03632302,160,125,,,,0.2,45,85,,0.46,0.45,357.0,,,,,,,0.53125
