WK_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,nr_migr,nr_dutch,p_w_migr,p_nw_migr,p_dutch,p_migr
WK036357,3260,1965,0.16899999999999998,0.6509999999999999,0.065,0.5,410,855,23.3,1.13,1.09,2996.0,307,332.085,1632.915,1279.215,127.72500000000001,1265,1995,0.12576687116564417,0.26226993865030673,0.6119631901840491,0.3880368098159509
WK036358,4795,3200,0.092,0.617,0.165,0.4,1125,960,36.9,3.2,2.85,1685.0,384,294.4,2905.6,1974.4,528.0,2085,2710,0.2346193952033368,0.20020855057351408,0.5651720542231491,0.4348279457768509
WK036359,1335,665,0.032,0.20199999999999999,0.431,0.9,400,190,,0.43,0.38,3498.0,846,21.28,643.72,134.32999999999998,286.615,590,745,0.299625468164794,0.14232209737827714,0.5580524344569289,0.4419475655430712
WK036360,9645,5030,0.20600000000000002,0.644,0.069,0.5,1185,3900,20.2,1.31,1.19,8074.0,246,1036.18,3993.8199999999997,3239.32,347.07000000000005,5085,4560,0.12286158631415241,0.40435458786936235,0.4727838258164852,0.5272161741835147
WK036361,8270,4405,0.196,0.605,0.091,0.5,1170,3680,21.8,1.45,1.19,6977.0,289,863.38,3541.62,2665.025,400.85499999999996,4850,3420,0.1414752116082225,0.4449818621523579,0.4135429262394196,0.5864570737605804
WK036362,3525,1850,0.114,0.588,0.10400000000000001,0.7,390,515,23.0,0.47,0.43,8210.0,260,210.9,1639.1,1087.8,192.4,905,2620,0.11063829787234042,0.14609929078014183,0.7432624113475177,0.25673758865248225
WK036363,1880,930,0.14800000000000002,0.574,0.102,0.7,210,390,,0.17,0.17,11164.0,260,137.64000000000001,792.36,533.8199999999999,94.86,600,1280,0.11170212765957446,0.2074468085106383,0.6808510638297872,0.3191489361702128
WK036364,1685,645,0.027999999999999997,0.161,0.517,0.9,265,80,,0.43,0.36,4714.0,593,18.06,626.94,103.845,333.46500000000003,345,1340,0.1572700296735905,0.04747774480712166,0.7952522255192879,0.20474777448071216
WK036365,11710,5475,0.12300000000000001,0.518,0.139,0.7,1285,3195,23.1,1.7,1.59,7368.0,273,673.4250000000001,4801.575,2836.05,761.0250000000001,4480,7230,0.10973526900085397,0.27284372331340734,0.6174210076857387,0.3825789923142613
WK036366,8895,4065,0.109,0.44299999999999995,0.174,0.8,1080,2850,24.2,3.32,2.53,3512.0,281,443.085,3621.915,1800.7949999999998,707.31,3930,4965,0.12141652613827993,0.32040472175379425,0.5581787521079258,0.4418212478920742
WK036367,3285,1360,0.07,0.3,0.322,1.0,350,600,29.2,1.5,1.35,2437.0,377,95.2,1264.8,408.0,437.92,950,2335,0.106544901065449,0.182648401826484,0.710806697108067,0.289193302891933
WK036368,13185,5880,0.15,0.515,0.10800000000000001,0.6,1575,7605,20.2,1.51,1.42,9255.0,259,882.0,4998.0,3028.2000000000003,635.0400000000001,9180,4005,0.11945392491467577,0.5767918088737202,0.3037542662116041,0.6962457337883959
WK036369,11125,5945,0.146,0.597,0.073,0.5,1635,5040,21.2,1.55,1.51,7367.0,252,867.9699999999999,5077.03,3549.165,433.98499999999996,6675,4450,0.14696629213483145,0.45303370786516856,0.4,0.6
WK036370,14415,6510,0.154,0.545,0.121,0.6,1640,7390,20.9,1.83,1.66,8703.0,269,1002.54,5507.46,3547.9500000000003,787.7099999999999,9030,5385,0.11377037807839056,0.5126604231703087,0.37356919875130074,0.6264308012486993
WK036371,4055,2580,0.095,0.523,0.23,1.1,815,845,34.7,4.05,2.5,1622.0,286,245.1,2334.9,1349.3400000000001,593.4,1660,2395,0.20098643649815043,0.20838471023427868,0.5906288532675709,0.4093711467324291
WK036372,325,230,0.10800000000000001,0.624,0.059000000000000004,1.3,135,80,,1.11,0.68,477.0,209,24.840000000000003,205.16,143.52,13.57,215,110,0.4153846153846154,0.24615384615384617,0.3384615384615385,0.6615384615384615
WK036373,2310,950,0.052000000000000005,0.23199999999999998,0.409,1.2,240,95,,27.75,24.77,93.0,593,49.400000000000006,900.6,220.39999999999998,388.54999999999995,335,1975,0.1038961038961039,0.04112554112554113,0.854978354978355,0.14502164502164502
WK036374,2850,1170,0.107,0.319,0.342,0.8,425,920,29.9,0.86,0.82,3493.0,447,125.19,1044.81,373.23,400.14000000000004,1345,1505,0.14912280701754385,0.32280701754385965,0.5280701754385965,0.47192982456140353
WK036375,6205,3260,0.155,0.51,0.177,0.4,1080,2190,28.7,0.28,0.25,24474.0,379,505.3,2754.7,1662.6000000000001,577.02,3270,2935,0.17405318291700242,0.35294117647058826,0.47300564061240935,0.5269943593875906
WK036376,9345,4485,0.21100000000000002,0.607,0.084,0.5,1205,5940,19.1,1.02,0.96,9702.0,220,946.3350000000002,3538.665,2722.395,376.74,7145,2200,0.12894596040663456,0.6356340288924559,0.23542001070090957,0.7645799892990904
WK036377,17975,8660,0.193,0.599,0.08800000000000001,0.5,2210,11175,19.6,2.81,2.25,7997.0,214,1671.38,6988.62,5187.34,762.08,13385,4590,0.12294853963838664,0.6216968011126565,0.2553546592489569,0.7446453407510432
WK036378,16255,7005,0.185,0.5529999999999999,0.10800000000000001,0.6,1845,10935,18.9,1.41,1.32,12313.0,256,1295.925,5709.075,3873.7649999999994,756.5400000000001,12780,3475,0.11350353737311597,0.6727160873577361,0.21378037526914795,0.786219624730852
WK036379,2445,1035,0.086,0.365,0.19899999999999998,1.0,310,1145,,2.42,2.19,1119.0,311,89.00999999999999,945.99,377.775,205.96499999999997,1455,990,0.12678936605316973,0.46830265848670755,0.4049079754601227,0.5950920245398773
WK036380,1125,395,0.124,0.414,0.27899999999999997,1.3,115,380,,5.69,5.33,212.0,531,48.98,346.02,163.53,110.20499999999998,495,630,0.10222222222222223,0.3377777777777778,0.56,0.44
WK036381,16290,8630,0.154,0.59,0.106,0.6,2420,8130,22.8,1.77,1.58,10339.0,236,1329.02,7300.98,5091.7,914.78,10550,5740,0.14855739717618172,0.4990791896869245,0.3523634131368938,0.6476365868631062
WK036382,15755,7030,0.157,0.527,0.125,0.6,1990,10375,20.9,1.12,1.03,15264.0,257,1103.71,5926.29,3704.81,878.75,12365,3390,0.12630910821961283,0.658521104411298,0.21516978736908918,0.7848302126309108
WK036383,6130,2765,0.122,0.534,0.09699999999999999,0.7,960,3345,20.5,0.6,0.6,10250.0,225,337.33,2427.67,1476.51,268.205,4305,1825,0.1566068515497553,0.5456769983686787,0.29771615008156604,0.702283849918434
WK036384,14530,5920,0.07,0.332,0.293,0.9,1755,6485,28.3,1.64,1.51,9630.0,366,414.40000000000003,5505.6,1965.44,1734.56,8240,6290,0.12078458362009635,0.4463179628355127,0.4328974535443909,0.5671025464556091
